"ID","IPADDRESS","STBROWSER","STBROWSERVERSION","STSYSTEM","STLANGUAGE","DATUM","TIMESTAMP"
"51","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 04:32:43.574"
"52","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 06:00:13.692"
"53","192.168.178.2","Other","Other","Other","de","2022-12-14","2022-12-14 06:37:04.692"
"54","192.168.178.2","Firefox","Firefox","Mac OS X","de","2022-12-14","2022-12-14 06:54:48.67"
"55","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 06:57:49.829"
"56","192.168.178.2","Mobile Safari","Mobile Safari","iOS","de","2022-12-14","2022-12-14 07:38:59.263"
"57","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 08:16:40.51"
"58","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 08:16:46.915"
"59","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 08:17:08.955"
"60","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 08:32:34.348"
"61","192.168.178.2","Other","Other","Other","de","2022-12-14","2022-12-14 08:45:59.779"
"62","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 09:01:32.54"
"63","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 09:08:02.436"
"64","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 09:31:04.515"
"65","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 09:36:04.023"
"66","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 09:52:32.444"
"67","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 10:15:25.295"
"68","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 10:30:09.602"
"69","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 10:30:51.575"
"70","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 10:51:41.952"
"71","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:04:36.809"
"72","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:19:09.63"
"73","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:21:02.562"
"74","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:26:09.754"
"75","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:26:35.051"
"76","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:35:56.663"
"77","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 11:43:35.512"
"78","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 12:27:44.811"
"79","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 12:28:18.016"
"80","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 12:45:32.158"
"81","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 13:02:06.478"
"82","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 14:25:35.001"
"83","192.168.178.2","Firefox","Firefox","Windows","de","2022-12-14","2022-12-14 14:25:35.63"
"84","192.168.178.2","Edge","Edge","Windows","de","2022-12-14","2022-12-14 15:27:23.695"
"85","192.168.178.2","Edge","Edge","Windows","de","2022-12-14","2022-12-14 15:46:25.679"
"86","192.168.178.2","Python Requests","Python Requests","Other","de","2022-12-14","2022-12-14 18:01:42.176"
"87","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 18:24:27.121"
"88","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 18:46:15.848"
"89","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 18:47:15.317"
"90","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 19:19:02.662"
"91","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 19:20:38.084"
"92","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 19:24:00.688"
"93","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 19:24:05.464"
"94","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 19:37:38.894"
"95","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:27:31.636"
"96","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:28:15.263"
"97","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:28:38.631"
"98","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:30:29.268"
"99","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:30:57.759"
"100","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:33:49.301"
"101","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 20:39:18.871"
"102","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 21:35:05.066"
"103","192.168.178.2","Edge","Edge","Windows","de","2022-12-14","2022-12-14 22:14:30.848"
"104","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 22:38:06.757"
"105","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 22:40:17.9"
"106","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 23:01:26.531"
"107","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 00:00:43.878"
"108","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 00:09:21.66"
"109","192.168.178.2","Opera","Opera","Windows","de","2022-12-15","2022-12-15 03:39:13.911"
"110","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 03:40:34.886"
"111","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 04:27:45.279"
"112","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 04:45:27.04"
"113","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 04:47:14.083"
"114","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 05:24:42.057"
"115","192.168.178.2","Mobile Safari","Mobile Safari","iOS","de","2022-12-15","2022-12-15 05:32:01.87"
"116","192.168.178.2","Mobile Safari","Mobile Safari","iOS","de","2022-12-15","2022-12-15 05:39:18.74"
"117","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 05:49:42.889"
"118","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 05:50:45.855"
"119","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 06:13:04.196"
"120","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 06:13:05.305"
"121","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 06:49:00.274"
"122","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 07:04:47.665"
"123","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 07:04:48.772"
"124","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 07:22:01.012"
"125","192.168.178.2","Python Requests","Python Requests","Other","de","2022-12-15","2022-12-15 09:09:14.728"
"126","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 09:21:59.312"
"127","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 09:35:27.446"
"128","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 10:18:59.783"
"129","192.168.178.2","Edge","Edge","Windows","de","2022-12-15","2022-12-15 10:51:56.135"
"130","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 10:59:09.583"
"131","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 12:09:39.802"
"132","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 12:09:49.682"
"133","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 12:20:27.712"
"134","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 12:40:29.326"
"135","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 12:48:29.573"
"136","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 12:53:24.507"
"137","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 13:01:07.547"
"138","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 14:22:12.073"
"139","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 14:26:22.263"
"140","192.168.178.2","UC Browser","UC Browser","Android","de","2022-12-15","2022-12-15 15:33:12.175"
"141","192.168.178.2","Edge","Edge","Windows","de","2022-12-15","2022-12-15 15:52:59.711"
"142","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 16:19:12.539"
"143","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 16:20:56.415"
"144","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 16:40:20.255"
"145","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 16:45:05.751"
"146","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 16:45:19.461"
"147","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 16:47:33.289"
"148","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 16:57:11.353"
"149","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 17:17:01.116"
"150","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 17:17:50.405"
"151","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 17:21:37.974"
"152","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 17:21:52.343"
"153","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-15","2022-12-15 17:21:57.124"
"154","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 17:23:49.032"
"155","192.168.178.2","Python Requests","Python Requests","Other","de","2022-12-15","2022-12-15 17:37:19.608"
"156","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 17:53:18.185"
"157","192.168.178.2","Edge","Edge","Windows","de","2022-12-15","2022-12-15 18:21:03.565"
"158","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 18:48:10.241"
"159","192.168.178.2","Edge","Edge","Windows","de","2022-12-15","2022-12-15 18:52:22.889"
"160","192.168.178.2","Edge","Edge","Windows","de","2022-12-15","2022-12-15 18:52:23.354"
"161","192.168.178.2","Chrome Mobile WebView","Chrome Mobile WebView","Android","de","2022-12-15","2022-12-15 19:07:44.343"
"162","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-15","2022-12-15 19:15:05.851"
"163","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 19:15:28.453"
"164","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-15","2022-12-15 19:39:58.534"
"165","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 20:28:45.913"
"166","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 21:09:48.377"
"167","192.168.178.2","Other","Other","Other","de","2022-12-15","2022-12-15 21:16:03.73"
"168","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 21:23:59.104"
"169","192.168.178.2","Firefox","Firefox","Windows","de","2022-12-15","2022-12-15 21:40:32.593"
"170","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-15","2022-12-15 23:30:31.12"
"171","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 00:16:53.282"
"172","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 00:53:52.252"
"173","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 02:09:50.326"
"174","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-16","2022-12-16 02:51:40.221"
"175","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 04:25:28.644"
"176","192.168.178.2","Other","Other","Other","de","2022-12-16","2022-12-16 05:20:50.5"
"177","192.168.178.2","Chrome","Chrome","Mac OS X","de","2022-12-16","2022-12-16 05:34:02.577"
"178","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 06:52:15.114"
"179","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 06:59:47.601"
"180","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 07:00:43.163"
"181","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 07:13:17.163"
"182","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 07:23:12.188"
"183","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-16","2022-12-16 07:42:36.207"
"184","192.168.178.2","Googlebot","Googlebot","Android","de","2022-12-16","2022-12-16 07:47:40.241"
"185","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 07:59:56.475"
"186","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:15:00.982"
"187","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:19:48.648"
"188","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:21:01.457"
"189","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:22:09.965"
"190","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:24:14.175"
"191","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:31:18.576"
"192","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:32:10.416"
"193","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:33:59.015"
"194","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:35:25.345"
"195","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:36:43.193"
"196","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:38:06.39"
"197","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:38:43.926"
"198","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:40:48.53"
"199","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:41:33.246"
"200","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:42:50.15"
"201","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 08:43:21.353"
"202","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 09:09:36.846"
"203","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 09:21:51.686"
"204","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 09:38:17.742"
"205","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 09:55:38.093"
"206","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 09:57:34.27"
"207","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 10:06:31.644"
"208","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 10:11:48.977"
"209","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 10:31:27.164"
"210","192.168.178.2","masscan","masscan","Other","de","2022-12-16","2022-12-16 11:11:56.675"
"211","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 11:30:45.99"
"212","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 12:02:04.499"
"213","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-16","2022-12-16 12:15:32.841"
"214","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 12:28:19.624"
"215","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 13:16:39.198"
"216","192.168.178.2","Firefox","Firefox","Windows","de","2022-12-16","2022-12-16 13:16:55.748"
"217","192.168.178.2","Other","Other","Other","de","2022-12-16","2022-12-16 13:39:52.307"
"218","192.168.178.2","Chrome","Chrome","Mac OS X","de","2022-12-16","2022-12-16 13:56:50.022"
"219","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 14:08:26.299"
"220","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 14:08:36.161"
"221","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-16","2022-12-16 14:08:46.504"
"222","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-16","2022-12-16 14:28:41.274"
"223","192.168.178.2","curl","curl","Other","de","2022-12-16","2022-12-16 14:35:32.898"
"224","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 14:36:23.648"
"225","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 14:51:17.538"
"226","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 15:17:42.321"
"227","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 16:00:38.578"
"228","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-16","2022-12-16 16:44:07.822"
"229","192.168.178.2","Other","Other","Other","de","2022-12-16","2022-12-16 17:09:20.523"
"230","192.168.178.2","Python Requests","Python Requests","Other","de","2022-12-16","2022-12-16 17:10:08.226"
"231","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 17:32:54.154"
"232","192.168.178.2","Edge","Edge","Windows","de","2022-12-16","2022-12-16 17:47:17.501"
"233","192.168.178.2","Other","Other","Other","de","2022-12-16","2022-12-16 18:47:43.736"
"234","192.168.178.2","Edge","Edge","Windows","de","2022-12-16","2022-12-16 18:49:40.706"
"235","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 19:56:36.911"
"236","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 19:56:37.267"
"237","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 19:56:37.894"
"238","192.168.178.2","Other","Other","Other","de","2022-12-16","2022-12-16 20:53:39.684"
"239","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 20:59:26.1"
"240","192.168.178.2","UC Browser","UC Browser","Android","de","2022-12-16","2022-12-16 22:14:55.842"
"241","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 22:19:00.086"
"242","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 22:39:29.364"
"243","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-16","2022-12-16 23:56:04.979"
"244","192.168.178.2","Googlebot","Googlebot","Android","de","2022-12-17","2022-12-17 01:37:01.229"
"245","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 01:37:56.981"
"246","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 01:48:51.926"
"247","192.168.178.2","Other","Other","Other","de","2022-12-17","2022-12-17 02:13:50.554"
"248","192.168.178.2","Other","Other","Other","de","2022-12-17","2022-12-17 02:49:09.63"
"249","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 03:54:32.998"
"250","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 04:42:05.714"
"251","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 05:06:23.655"
"252","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 05:19:24.166"
"253","192.168.178.2","Other","Other","Other","de","2022-12-17","2022-12-17 05:30:20.303"
"254","192.168.178.2","Mobile Safari","Mobile Safari","iOS","de","2022-12-17","2022-12-17 05:57:15.731"
"255","192.168.178.2","Firefox","Firefox","Windows","de","2022-12-17","2022-12-17 06:23:54.043"
"256","192.168.178.2","Other","Other","Linux","de","2022-12-17","2022-12-17 06:25:05.103"
"257","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 06:36:49.083"
"258","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 06:38:59.276"
"259","192.168.178.2","spider","spider","Other","de","2022-12-17","2022-12-17 06:59:56.0"
"260","192.168.178.2","spider","spider","Other","de","2022-12-17","2022-12-17 07:00:02.94"
"261","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 07:26:22.435"
"262","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 07:29:03.882"
"263","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 07:33:15.188"
"264","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 07:41:47.544"
"265","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 07:45:55.201"
"266","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-17","2022-12-17 08:46:47.737"
"267","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 08:50:30.051"
"268","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 09:05:28.948"
"269","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 09:38:39.661"
"270","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 09:47:03.717"
"271","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 09:51:33.433"
"272","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 10:01:45.498"
"273","192.168.178.2","Firefox","Firefox","Mac OS X","de","2022-12-17","2022-12-17 10:26:27.536"
"274","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-17","2022-12-17 10:26:28.357"
"275","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 10:38:08.221"
"276","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 10:44:13.461"
"277","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 10:45:04.086"
"278","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 10:53:49.877"
"279","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-17","2022-12-17 11:06:38.537"
